"","park","year","total_sq_kilometers","country","state_region_province","closest_city","distance_from_closest_city","geocode_address","lon","lat","geoAddress"
"14","Cuyahoga Valley",2000,"132","United States","Ohio","Cleveland ",19,"Cuyahoga Valley National Park, United States",-81.567812,41.2808248,"cuyahoga valley national park, ohio, usa"
"15","Death Valley",1994,"13793","United States","California","Las Vegas",179,"Death Valley National Park, United States",-116.9325408,36.5322649,"death valley, ca, usa"
"16","Denali",1917,"19186","United States","Alaska","Anchorage",383,"Denali National Park, United States",-151.1926058,63.1148002,"denali national park and preserve, parks hwy, denali national park and preserve, ak, usa"
"17","Dry Tortugas",1992,"262","United States","Florida","Havana",110,"Dry Tortugas National Park, United States",-82.8731874,24.628477,"dry tortugas national park, florida, usa"
"18","Everglades",1934,"6107","United States","Florida","Miami",42,"Everglades National Park, United States",-80.8986509,25.2866155,"everglades national park, florida, usa"
"19","Gates of the Arctic",1980,"30448","United States","Alaska","Anchorage",756,"Gates of the Arctic National Park, United States",-153.1860539,67.8819009,"gates of the arctic national park and preserve, 101 dunkel st, fairbanks, ak 99701, usa"
"20","Gateway Arch",2018,"91","United States","Missouri","St Louis",0,"Gateway Arch National Park, United States",-90.1855273,38.6246509,"st. louis, mo 63102, usa"
"21","Glacier",1910,"4100","United States","Montana","Calgary",291,"Glacier National Park, United States",-113.7870225,48.7596128,"glacier national park, montana, usa"
"22","Glacier Bay",1980,"13045","United States","Alaska","Anchorage",784,"Glacier Bay National Park, United States",-136.9002147,58.6658073,"glacier bay national park and preserve, alaska, usa"
"23","Grand Canyon",1919,"4863","United States","Arizona","Phoenix",348,"Grand Canyon National Park, United States",-112.1129484,36.1069258,"grand canyon national park, arizona, usa"
"24","Grand Teton",1929,"1255","United States","Wyoming","Salt Lake City",449,"Grand Teton National Park, United States",-110.6817627,43.7904282,"grand teton national park, wyoming, usa"
"25","Great Basin",1986,"312","United States","Nevada","Provo",315,"Great Basin National Park, United States",-114.2633787,38.9299798,"great basin national park, nevada, usa"
"26","Great Sand Dunes",2004,"434","United States","Colorado","Pueblo",198,"Great Sand Dunes National Park, United States",-105.5930539,37.7935263,"great sand dunes national park and preserve, colorado, usa"
"27","Great Smoky Mountains",1934,"2114","United States","Tennessee","Knoxville",51,"Great Smoky Mountains National Park, United States",-83.5531537,35.6130503,"great smoky mountains national park, united states"
"28","Guadalupe Mountains",1972,"350","United States","Texas","El Paso",113,"Guadalupe Mountains National Park, United States",-104.8848075,31.9211082,"guadalupe mountains national park, salt flat, tx 79847, usa"
"29","Haleakala",1961,"136","United States","Hawaii","Honolulu",188,"Haleakala National Park, United States",-156.1551524,20.7203826,"haleakalā national park, hawaii, usa"
"30","Hawaii Volcanoes",1916,"1318","United States","Hawaii","Honolulu",343,"Hawaii Volcanoes National Park, United States",-155.2568892,19.4290543,"hawaii volcanoes national park, hi 96785, usa"
"31","Hot Springs",1921,"23","United States","Arkansas","Little Rock",53,"Hot Springs National Park, United States",-93.0637411,34.5313219,"hot springs national park, ar, usa"
"32","Indiana Dunes",2019,"62","United States","Indiana","Chicago",48,"Indiana Dunes National Park, United States",-87.0524338,41.6532678,"indiana dunes national park, 1215 n state rd 49, porter, in 46304, usa"
"33","Isle Royal",1930,"2314","United States","Michigan","Thunder Bay",52,"Isle Royal National Park, United States",-88.9092899,47.9958654,"isle royale national park, michigan, usa"
"34","Joshua Tree",1994,"3218","United States","California","San Bernadino",127,"Joshua Tree National Park, United States",-115.9009923,33.873415,"joshua tree national park, california, usa"
"35","Katmai",1980,"14870","United States","Alaska","Anchorage",467,"Katmai National Park, United States",-155.0631051,58.6125631,"katmai national park and preserve, king salmon, ak 99613, usa"
"36","Kenai Fjords",1980,"2710","United States","Alaska","Anchorage",201,"Kenai Fjords National Park, United States",-150.1878803,59.8486745,"kenai fjords national park, alaska, usa"
"37","Kings Canyon",1940,"1869","United States","California","Fresno",85,"Kings Canyon National Park, United States",-118.5551477,36.8878548,"kings canyon national park, california, usa"
"38","Kobuk Valley",1980,"7085","United States","Alaska","Anchorage",814,"Kobuk Valley National Park, United States",-159.213676,67.3575107,"kobuk valley national park, 171 3rd ave, kotzebue, ak 99752, usa"
"39","Lake Clark",1980,"10602","United States","Alaska","Anchorage",196,"Lake Clark National Park, United States",-153.5301093,60.594101,"lake clark national park and preserve, port alsworth, ak 99653, usa"
"40","Lassen Volcanic",1916,"431","United States","California","Sacramento",309,"Lassen Volcanic National Park, United States",-121.4206552,40.49766,"lassen volcanic national park, california, usa"
"41","Mammoth Cave",1941,"219","United States","Kentucky","Nashville",143,"Mammoth Cave National Park, United States",-86.0999753,37.1861597,"mammoth cave, ky 42259, usa"
"42","Mesa Verde",1906,"212","United States","Colorado","Albuquerque",396,"Mesa Verde National Park, United States",-108.4886935,37.1837823,"mesa verde national park, co 81330, usa"
"43","Mount Ranier",1899,"957","United States","Washington","Tacoma",95,"Mount Ranier National Park, United States",-121.7269094,46.8799663,"mount rainier national park, washington, usa"
"44","New River Gorge",2020,"28","United States","West Virginia","Greensboro",309,"New River Gorge National Park, United States",-81.0356791,37.8752221,"new river gorge national park & preserve, 162 visitor center rd, lansing, wv 25862, usa"
"45","North Cascades",1968,"2043","United States","Washington","Abbotsford",143,"North Cascades National Park, United States",-121.2984648,48.7718174,"north cascades national park, washington, usa"
"46","Olympic",1938,"3734","United States","Washington","Seattle",177,"Olympic National Park, United States",-123.6043524,47.8021067,"olympic national park, 3002 mt angeles rd, port angeles, wa 98362, usa"
"47","Petrified Forest",1962,"896","United States","Arizona","Phoenix",325,"Petrified Forest National Park, United States",-109.7889229,35.0036935,"petrified forest national park, arizona, usa"
"48","Pinnacles",2013,"108","United States","California","San Jose",122,"Pinnacles National Park, United States",-121.1824925,36.4905655,"pinnacles national park, california 95043, usa"
"49","Redwood",1968,"563","United States","California","Eugene",340,"Redwood National Park, United States",-124.0046276,41.2131788,"redwood national and state parks, california, usa"
"50","Rocky Mountain",1915,"1976","United States","Colorado","Boulder",61,"Rocky Mountain National Park, United States",-105.6836389,40.3427932,"rocky mountain national park, colorado, usa"
"51","Saguaro",1994,"376","United States","Arizona","Tucson",21,"Saguaro National Park, United States",-111.166615,32.2967359,"saguaro national park, arizona, usa"
"52","Sequoia",1890,"1365","United States","California","Fresno",117,"Sequoia National Park, United States",-118.5657516,36.4863668,"sequoia national park, california, usa"
"53","Shenandoah",1935,"810","United States","Virginia","Washington DC",114,"Shenandoah National Park, United States",-78.4534573,38.4754706,"shenandoah national park, virginia, usa"
"54","Theodore Roosevelt",1978,"285","United States","North Dakota","Regina",483,"Theodore Roosevelt National Park, United States",-103.5387091,46.978965,"theodore roosevelt national park, north dakota, usa"
"55","Voyageurs",1975,"883","United States","Minnesota","Winnipeg",391,"Voyageurs National Park, United States",-92.8268267,48.4732901,"voyageurs national park, international falls, mn 56649, usa"
"56","White Sands",2019,"592","United States","New Mexico","El Paso ",154,"White Sands National Park, United States",-106.3256816,32.7872403,"white sands national park, new mexico, usa"
"57","Wind Cave",1903,"138","United States","South Dakota","Fort Collins",460,"Wind Cave National Park, United States",-103.4415644,43.5724388,"wind cave national park, south dakota, usa"
"58","Wrangell-St Elias",1980,"33683","United States","Alaska","Anchorage",399,"Wrangell-St Elias National Park, United States",-142.9856804,61.7104448,"wrangell-st. elias national park & preserve, alaska, usa"
"59","Yellowstone",1872,"8983","United States","Wyoming, Montana, Idaho","Salt Lake City",576,"Yellowstone National Park, United States",-110.588455,44.427963,"yellowstone national park, united states"
"60","Yosemite",1890,"3083","United States","California","Fresno",100,"Yosemite National Park, United States",-119.5383294,37.8651011,"yosemite national park, california, usa"
"61","Zion",1919,"596","United States","Utah","Las Vegas",269,"Zion National Park, United States",-113.0263005,37.2982022,"zion national park, utah, usa"
"62","Akami-Uapishk KakKasuak-Mealy Mountains",2015,"10,700","Canada","Newfoundland and Labrador","Quebec City",1215,"Akami-Uapishk KakKasuak-Mealy Mountains National Park, Canada",-106.346771,56.130366,"canada"
"63","Aulavik",1992,"12,200","Canada","Northwest Territories","Anchorage",1857,"Aulavik National Park, Canada",-119.590888,73.7482485,"aulavik national park, aulavik national park, sachs harbour, nt x0e 0z0, canada"
"64","Auyuittuq",2001,"19,089","Canada","Nunavut","Quebec City",2334,"Auyuittuq National Park, Canada",-66.055959,67.489532,"auyuittuq national park, pangnirtung, nu x0a 0r0, canada"
"65","Banff",1885,"6,641","Canada","Alberta","Calgary",109,"Banff National Park, Canada",-115.9280561,51.4968464,"banff national park, improvement district no. 9, ab t0l, canada"
"66","Bruce Peninsula",1987,"125","Canada","Ontario","Barrie",202,"Bruce Peninsula National Park, Canada",-81.5250035,45.2297313,"bruce peninsula national park, 469 cyprus lake rd, tobermory, on n0h 2r0, canada"
"67","Cape Breton Island",1936,"948","Canada","Nova Scotia","Halifax",443,"Cape Breton Island National Park, Canada",-60.851817,46.2486851,"cape breton island, nova scotia, canada"
"68","Elk Island",1913,"194","Canada","Alberta","Edmonton",48,"Elk Island National Park, Canada",-112.8866106,53.610095,"improvement district no. 13, ab t0b, canada"
"69","Forillon",1970,"240","Canada","Quebec","Quebec City",726,"Forillon National Park, Canada",-106.346771,56.130366,"canada"
"70","Georgian Bay Islands",1930,"14","Canada","Ontario","Barrie",70,"Georgian Bay Islands National Park, Canada",-79.8699554,44.8743165,"georgian bay islands national park, 2611 honey harbour road, honey harbour, on p0e 1e0, canada"
"71","Glacier",1886,"1,349","Canada","British Columbia","Calgary",317,"Glacier National Park, Canada",-117.5297595,51.335289,"glacier national park of canada, columbia-shuswap, bc v0x 1r0, canada"
"72","Grasslands",1981,"730","Canada","Saskatchewan","Regina",340,"Grasslands National Park, Canada",-107.5423254,49.1233273,"grasslands national park, sk-4, val marie, sk, canada"
"73","Gros Morne",2005,"1,805","Canada","Newfoundland and Labrador","St John's",666,"Gros Morne National Park, Canada",-57.755758,49.652015,"gros morne national park of canada, newfoundland and labrador, canada"
"74","Gulf Islands",2003,"37","Canada","British Columbia","Vancouver",80,"Gulf Islands National Park, Canada",-123.1622203,48.7861101,"gulf islands national park reserve, 195-203 narvaez bay rd, saturna, bc v0n 2y0, canada"
"75","Gwaii Hanaas",1988,"1,474","Canada","British Columbia","Vancover",689,"Gwaii Hanaas National Park, Canada",-131.5582291,52.4682741,"gwaii haanas national park reserve and haida heritage site, daajing giids, bc v0t 1s0, canada"
"76","Ivaavik",1984,"9,750","Canada","Yukon","Anchorage",991,"Ivaavik National Park, Canada",-139.833984,69.094186,"ivvavik national park, ivvavik national park, unorganized, yt y0b 1g0, canada"
"77","Jasper",1907,"11,228","Canada","Alberta","Calgary",304,"Jasper National Park, Canada",-117.9542939,52.873383,"jasper national park of canada, jasper, ab t0e 1e0, canada"
"78","Kejimkujik",1967,"404","Canada","Nova Scotia","Halifax",167,"Kejimkujik National Park, Canada",-65.213655,44.435209,"kejimkujik national park and national historic site, 3005 kejimkujik main parkway, caledonia, ns b0t 1b0, canada"
"79","Kluane",1993,"5,900","Canada","Yukon","Anchorage",1042,"Kluane National Park, Canada",-139.5,60.75,"kluane national park and reserve, haines junction, yt y0b 1l0, canada"
"80","Kootenay",1920,"1,406","Canada","Alberta","Calgary",165,"Kootenay National Park, Canada",-115.9592101,50.9769367,"kootenay national park, british columbia v0a, canada"
"81","Kouchibouguac",1969,"239","Canada","New Brunswick","Halifax",341,"Kouchibouguac National Park, Canada",-64.9611539,46.8103391,"kouchibouguac national park, national 186, nb-117, kouchibouguac, nb e4x 1v2, canada"
"82","La Mauricie",1970,"536","Canada","Quebec","Tros-Rivieres",58,"La Mauricie National Park, Canada",-72.7681748,46.7332984,"la mauricie nat'l pk, chem. de saint-jean-des-piles, shawinigan, qc g0x 2v0, canada"
"83","Mingan Archipelago ",1984,"151","Canada","Quebec","Quebec City",854,"Mingan Archipelago  National Park, Canada",-63.6242163,50.2205446,"réserve de parc national de l'archipel-de-mingan, 1010 promenade des anciens, havre-saint-pierre, qc g0g 1p0, canada"
"84","Mount Revelstoke",1914,"252","Canada","British Columbia","Calgary",407,"Mount Revelstoke National Park, Canada",-118.0422245,51.0926042,"mount revelstoke national park, meadows in the sky pkwy, revelstoke, bc v0e 2s0, canada"
"85","Naats'ihch'oh",2014,"4,850","Canada","Northwest Territories","Anchorage",1121,"Naats'ihch'oh National Park, Canada",-128.5709002,62.6819261,"nááts'įhch'oh national park reserve, fort smith region, tulita, nt, canada"
"86","Nahanni",1974,"30,000","Canada","Northwest Territories","Edmonton",1844,"Nahanni National Park, Canada",-125.5004695,61.5006973,"nahanni national park reserve of canada, fort smith, unorganized, nt x0e, canada"
"87","Pacific Rim",1970,"510","Canada","British Columbia","Victoria",193,"Pacific Rim National Park, Canada",-125.156359,48.7919313,"pacific rim national park reserve, british columbia, canada"
"88","Point Pelee",1918,"15","Canada","Ontario","Windsor",61,"Point Pelee National Park, Canada",-82.51844,41.962772,"point pelee national park, 1118 point pelee dr, leamington, on n8h 3v4, canada"
"89","Prince Albert",1927,"3,875","Canada","Saskatchewan","Saskatoon",227,"Prince Albert National Park, Canada",-106.3888857,53.9256904,"prince albert national park, sk, canada"
"90","Prince Edward Island",1937,"27","Canada","Prince Edward Island","Halifax",326,"Prince Edward Island National Park, Canada",-63.1739467,46.4264574,"prince edward island national park, 41 dalvay crescent, dalvay by the sea, pe c0a 1p0, canada"
"91","Pukaskwa",1971,"1,878","Canada","Ontario","Thunder Bay",321,"Pukaskwa National Park, Canada",-86.2933777,48.5930342,"pukaskwa national park, on-627, heron bay, on p0t 1r0, canada"
"92","Qausuittuq",2015,"11,008","Canada","Nunavut","Saskatoon",2664,"Qausuittuq National Park, Canada",-101.0315081,76.0281123,"qausuittuq national park, qikiqtaaluk region, nu, canada"
"93","Riding Mountain",1933,"2,968","Canada","Manitoba","Winnipeg",267,"Riding Mountain National Park, Canada",-99.9712948,50.6583616,"riding mountain national park, 135 wasagaming dr, onanole, mb r0j 1n0, canada"
"94","Rouge",2015,"79","Canada","Ontario","Toronto",34,"Rouge National Park, Canada",-79.170989,43.8190375,"rouge national urban park, 1749 meadowvale rd, toronto, on m1b 5w8, canada"
"95","Sable Island",2013,"30","Canada","Nova Scotia","Halifax",302,"Sable Island National Park, Canada",-59.9067654,43.9320919,"sable island national park reserve, sable island, halifax, ns b0j 1m0, canada"
"96","Sirmilik",2001,"20,200","Canada","Nunavut","Winnipeg",2711,"Sirmilik National Park, Canada",-79.7820558,73.0737535,"sirmilik national park, sirmilik national parks office, pond inlet, nu x0a 0a0, canada"
"97","Terra Nova",1957,"399","Canada","Newfoundland and Labrador","St John's",223,"Terra Nova National Park, Canada",-53.9655172,48.5252647,"terra nova national park, trans-canada hwy glovertown, traytown, nl a0g 4k0, canada"
"98","Thaidene Nene",2019,"14,305","Canada","Nunavut","Edmonton",1308,"Thaidene Nene National Park, Canada",-106.346771,56.130366,"canada"
"99","Thousand Islands",1904,"24","Canada","Ontario","Kingston",65,"Thousand Islands National Park, Canada",-75.8752705,44.4804248,"thousand islands national park, mallory coach house, mallorytown, on k0e 1r0, canada"
"100","Torngat Mountains",2008,"9,700","Canada","Newfoundland and Labrador","Quebec City",1459,"Torngat Mountains National Park, Canada",-63.9933748,59.2246051,"torngat mountains national park, torngat mountains, nain, nl a0p 1l0, canada"
"101","Tuktut Nogait",1998,"18,181","Canada","Northwest Territories","Edmonton",1750,"Tuktut Nogait National Park, Canada",-121.748991,68.818748,"tuktut nogait national park, inuvik, unorganized, nt x0e 1n0, canada"
"102","Ukkusiksalik",2003,"20,880","Canada","Nunavut","Saskatoon",1829,"Ukkusiksalik National Park, Canada",-88.9865879,66.043133,"ukkusiksalik national park, kivalliq region, nu x0c 0h0, canada"
"103","Vuntut",1993,"4,345","Canada","Yukon","Anchorage",925,"Vuntut National Park, Canada",-139.858033,68.384944,"vuntut national park, unorganized, yt y0b 1n0, canada"
"104","Wapusk",1996,"11,475","Canada","Manitoba","Winnipeg",914,"Wapusk National Park, Canada",-93.2290221,57.7938508,"wapusk national park, manitoba r0b 0e0, canada"
"105","Waterton Lakes",1895,"505","Canada","Alberta","Calgary",260,"Waterton Lakes National Park, Canada",-113.9166667,49.0833333,"waterton lakes national park of canada, ab-5, waterton park, ab t0k 2m0, canada"
"106","Wood Buffalo",1922,"44,972","Canada","Alberta, Northwest Territories","Edmonton",1141,"Wood Buffalo National Park, Canada",-112.8764021,59.4395031,"wood buffalo national park of canada, canada"
"107","Yoho",1886,"1,313","Canada","Alberta","Calgary",224,"Yoho National Park, Canada",-116.5833333,51.4666667,"yoho national park of canada, field, bc v0a 1g0, canada"
"108","Abel Tasman",1942,"237","New Zealand","South Island","Christchurch",433,"Abel Tasman National Park, New Zealand",172.9670849,-40.9050357,"abel tasman national park, south island 7183, new zealand"
"109","Aoraki/Mount Cook",1953,"722","New Zealand","South Island","Dunedin",309,"Aoraki/Mount Cook National Park, New Zealand",170.2623985,-43.5946537,"aoraki/mount cook national park, canterbury 7999, new zealand"
"110","Arthur's Pass",1929,"1,185","New Zealand","South Island","Christchurch",136,"Arthur's Pass National Park, New Zealand",171.7251065,-42.9363395,"arthur's pass national park, canterbury 7875, new zealand"
"111","Egmont",1900,"342","New Zealand","North Island","Hamilton",253,"Egmont National Park, New Zealand",174.0662744,-39.2996766,"egmont national park, taranaki, new zealand"
"112","Fiordland",1952,"12,607","New Zealand","South Island","Dunedin",331,"Fiordland National Park, New Zealand",167.5422023,-45.4629441,"fiordland national park, fiordland national park, te anau 9600, new zealand"
"113","Kahurangi",1996,"4,529","New Zealand","South Island","Christchurch",395,"Kahurangi National Park, New Zealand",172.5350873,-41.0985169,"kahurangi national park, 7073, new zealand"
"114","Mount Aspiring",1964,"3,562","New Zealand","South Island","Dunedin",327,"Mount Aspiring National Park, New Zealand",168.8339931,-44.2319659,"mount aspiring national park, south island 9382, new zealand"
"115","Nelson Lakes",1956,"1,019","New Zealand","South Island","Christchurch",348,"Nelson Lakes National Park, New Zealand",172.6316661,-42.0075113,"nelson lakes national park, south island, new zealand"
"116","Paparoa",1987,"430","New Zealand","South Island","Christchurch",287,"Paparoa National Park, New Zealand",171.449875,-42.094803,"paparoa national park, greymouth, new zealand"
"117","Rakiura",2002,"1,400","New Zealand","Stewart Island","Dunedin",239,"Rakiura National Park, New Zealand",167.8372114,-46.9972767,"rakiura national park, stewart island / rakiura 9818, new zealand"
"118","Tongariro",1887,"786","New Zealand","North Island","Hamilton",210,"Tongariro National Park, New Zealand",175.5938117,-39.1928169,"tongariro national park, manawatu-wanganui 4691, new zealand"
"119","Westland Tai Poutini",1960,"1,320","New Zealand","South Island","Christchurch",363,"Westland Tai Poutini National Park, New Zealand",170.1666667,-43.5,"westland tai poutini national park, west coast, new zealand"
"120","Whanganui",1986,"742","New Zealand","North Island","Hamilton",260,"Whanganui National Park, New Zealand",174.9193082,-39.2722805,"whanganui national park., new zealand"
"121","Addo Elephant",1931,"1642","South Africa","Eastern Cape","Kariega",56,"Addo Elephant National Park, South Africa",25.7448882,-33.4442931,"addo elephant national park, addo, 6105, south africa"
"122","Agulhas",1998,"210","South Africa","Western Cape","Cape Town",223,"Agulhas National Park, South Africa",19.8128592,-34.7299119,"agulhas national park, 214 main rd, bredasdorp, l'agulhas, 7287, south africa"
"123","Richtersveld",1991,"1,624","South Africa","Northern Cape","Windhoek",748,"Richtersveld National Park, South Africa",17.2429976,-28.6211222,"south africa"
"124","Augrabies Falls",1966,"820","South Africa","Northern Cape","Kimberley",519,"Augrabies Falls National Park, South Africa",20.3380661,-28.5942498,"augrabies falls national park, augrabies, 8874, south africa"
"125","Bontebok",1931,"28","South Africa","Western Cape","George",212,"Bontebok National Park, South Africa",20.4687292,-34.0656763,"bontebok national park, swellendam, 6740, south africa"
"126","Camdeboo",2005,"194","South Africa","Eastern Cape","Gqeberha",264,"Camdeboo National Park, South Africa",24.5412818,-32.2203946,"camdeboo national park, 20 n9, graaff-reinet, 6280, south africa"
"127","Garden Route",2009,"1,210","South Africa","Western Cape","George",140,"Garden Route National Park, South Africa",23.4537973,-33.8341255,"garden route national park, south africa"
"128","Golden Gate Highlands",1963,"340","South Africa","Free State","Maseru",185,"Golden Gate Highlands National Park, South Africa",28.6031402,-28.5078838,"golden gate highlands national park, south africa"
"129","Karoo",1979,"768","South Africa","Western Cape","George",239,"Karoo National Park, South Africa",22.5412031,-32.3634477,".off 6970, n1, beaufort west, 6970, south africa"
"130","Kalahari Gemsbok",1931,"3,703","South Africa","Northern Cape","Windhoek",692,"Kalahari Gemsbok National Park, South Africa",20.6117036,-26.4724121,"kgalagadi transfrontier park, r360, upington, 8800, south africa"
"131","Kruger",1926,"19,623","South Africa","Limpopo and Mpumalanga","Mbombela",54,"Kruger National Park, South Africa",31.5547402,-23.9883848,"kruger national park, south africa"
"132","Mapungubwe",1995,"280","South Africa","Limpopo ","Polokwane",214,"Mapungubwe National Park, South Africa",29.3472691,-22.222048,"mapungubwe national park, musina, south africa"
"133","Marakele",1994,"670","South Africa","Limpopo","Rustenburg",163,"Marakele National Park, South Africa",27.6022278,-24.4178448,"marakele national park, waterberg mountain range, south africa"
"134","Meerkat",2020,"1,352","South Africa","Northern Cape","George",498,"Meerkat National Park, South Africa",22.937506,-30.559482,"south africa"
"135","Mokala",2007,"196","South Africa","Northern Cape","Kimberley",85,"Mokala National Park, South Africa",24.3196629,-29.1658502,"mokala national park, modderrivier, 8700, south africa"
"136","Mountain Zebra",1937,"284","South Africa","Eastern Cape","Gqeberha",260,"Mountain Zebra National Park, South Africa",25.5095692,-32.1409504,"mountain zebra national park, south africa"
"137","Namaqua",1999,"1,368","South Africa","Northern Cape","Cape Town",534,"Namaqua National Park, South Africa",17.5790365,-30.016748,"namaqua national park, south africa"
"138","Table Mountain",1998,"221","South Africa","Western Cape","Cape Town",7,"Table Mountain National Park, South Africa",18.4012537,-33.9604102,"table mountain national park, tafelberg rd, cape town, 8000, south africa"
"139","Tankwa Karoo",1986,"1,436","South Africa","Northern Cape","Paarl",260,"Tankwa Karoo National Park, South Africa",20.095514,-32.2410219,"tankwa karoo national park, r355, calvinia, 8190, south africa"
"140","West Coast",1985,"363","South Africa","Western Cape","Cape Town",88,"West Coast National Park, South Africa",18.1492077,-33.1709163,"west coast national park, west coast dc, south africa"
"141","Butrint",1966,"94","Albania","S Albania","Durres",246,"Butrint National Park, Albania",20.0320021,39.7622623,"butrint archaeological park, sh81, butrint, albania"
"142","Tomorr Mountain ",1956,"261","Albania","S Albania","Durres",113,"Tomorr Mountain  National Park, Albania",20.1284562,40.7095455,"p45h+r98 tomorri mountain national park, tomor, albania"
"143","Dajti",1966,"294","Albania","Central Albania","Tirana",25,"Dajti National Park, Albania",19.9120412,41.3607092,"9w66+7rm, sh47, tiranë, albania"
"144","Fir of Drenove ",1966,"14","Albania","E Albania","Tirana",173,"Fir of Drenove  National Park, Albania",20.8254896,40.5661902,"hr8g+f5h fir of drenova national park, drenovë, albania"
"145","Llogara",1966,"10","Albania","SW Albania","Durres",167,"Llogara National Park, Albania",19.5627596,40.2177468,"6h97+34r llogara national park, sh8, vlorë, albania"
"146","Lure-Dejes Mountain ",1966,"202","Albania","NE Albania","Tirana",124,"Lure-Dejes Mountain  National Park, Albania",20.1944958,41.7878582,"q5qv+4qx lura-dejes mt national park, borie-lurë, albania"
"147","Theth",1966,"26","Albania","N Albania","Tirana",176,"Theth National Park, Albania",19.77311,42.396177,"theth national park, rruga nikgjonaj, qender theth, albania"
"148","Shtame Pass ",1996,"20","Albania","Central Albania","Tirana",51,"Shtame Pass  National Park, Albania",19.8922062,41.5207241,"qafshtama national park, benzinaio kastrati, fushë-kruje, albania"
"149","Valbone Valley ",1996,"80","Albania","N Albania","Tirana",258,"Valbone Valley  National Park, Albania",19.925868,42.4258646,"valbona valley national park, 8706, albania"
"150","Prespa",1999,"278","Albania","SE Albania","Tirana",169,"Prespa National Park, Albania",20.8791343,40.7941689,"prespa national park, gorice, sh79, albania"
"151","Divjake-Karavasta ",2007,"222","Albania","W Albania","Durres",63,"Divjake-Karavasta  National Park, Albania",19.4973059,40.92902,"divjaka-karavasta national park, lagja nr.2. divjake, lushnje al, 9022, albania"
"152","Fir of Hotove-Dangelli ",2008,"344","Albania","S Albania","Durres",231,"Fir of Hotove-Dangelli  National Park, Albania",20.4280433,40.3674634,"fir of hotova national park, frashër, albania"
"153","Shebenik-Jabllanice ",2008,"339","Albania","E Albania","Tirana",100,"Shebenik-Jabllanice  National Park, Albania",20.4542414,41.2319015,"parku kombëtar shebenik, rrajcë, albania"
"154","Karaburun-Sazan Marine Park ",2010,"126","Albania","SW Albania","Durres",94,"Karaburun-Sazan Marine Park  National Park, Albania",19.2741672,40.4916458,"f7rf+mm3 parku kombetar detar karaburun-sazan / karaburun-sazan national marine park, sazan, zvërnec, albania"
"155","Valle del Sorteny ",1999,"108","Andorra","","Perpignan",179,"Valle del Sorteny  National Park, Andorra",1.56264269750921,42.622289061659,"riu de sorteny, ad300, andorra"
"156","Valles del Comapedrosa ",2003,"15","Andorra","","Perpignan",170,"Valles del Comapedrosa  National Park, Andorra",1.4666878,42.5875497,"parc natural comunal de les valls del comapedrosa, ad400 la massana, andorra"
"157","Madriu-Perafita-Claror ",2005,"400","Andorra","","Perpignan",156,"Madriu-Perafita-Claror  National Park, Andorra",1.6031528,42.4833069,"madriu-perafita-claror valley, c/prat de la creu 74-76 baixos, ad500 andorra la vella, andorra"
"158","Hohe Tauern ",1981,"1856","Austria","Carnithia and the E Tyrol","Innsbruck",158,"Hohe Tauern  National Park, Austria",12.5408376,47.0004342,"hohe tauern national park, kirchpl. 2, 9971 matrei in osttirol, austria"
